seekid,id,name,price,brand,contenttype,style,image_url
c59c0382-3510-4c08-9498-66bfdc2d927a,43,床ks1181,0,慕月,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/c59c0382-3510-4c08-9498-66bfdc2d927a/iso.jpg
d0defe7d-0c13-4a05-bf2b-c383bc82088d,44,床930,6776,泰诺,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/d0defe7d-0c13-4a05-bf2b-c383bc82088d/iso.jpg
d20486d3-f8ba-4385-956e-05ac7cdf98e4,45,晓月_双人床153-183,8690,晓月,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/d20486d3-f8ba-4385-956e-05ac7cdf98e4/iso.jpg
d24035f2-3370-4e96-ad47-bc49268eb73e,46,阿尔卡莫,0,爱依瑞斯,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/d24035f2-3370-4e96-ad47-bc49268eb73e/iso.jpg
d276f5c8-c3a9-48f9-b324-6cfd32706d80,47,HL4-201c,6030,百强哈利木屋,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/d276f5c8-c3a9-48f9-b324-6cfd32706d80/iso.jpg
d7275b22-7f40-423f-b6d0-17fa3bc91d69,48,西蕃莲箱体床,17500,瑞尔,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/d7275b22-7f40-423f-b6d0-17fa3bc91d69/iso.jpg
e64f3484-36fb-4ad8-ba0a-4de3f1cffe44,49,床 SL-A107-1.8M,31487,北美之家,chair/chair,美式乡村,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/e64f3484-36fb-4ad8-ba0a-4de3f1cffe44/iso.jpg
f48a5993-beba-42f7-8cf0-93f86670e245,50,SL2010床,25130,奥克维尔,bed/king-size bed,北欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f48a5993-beba-42f7-8cf0-93f86670e245/iso.jpg
fa344ac6-241a-466b-b813-53402b3d4678,51,床 M6A003,0,皇朝板式,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/fa344ac6-241a-466b-b813-53402b3d4678/iso.jpg
fdcc0cfe-9ddc-4f03-a013-7d4fabdf2469,52,圆推锣锅枨独板罗汉床,0,又日新,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/fdcc0cfe-9ddc-4f03-a013-7d4fabdf2469/iso.jpg
